id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
mv-178,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)' Official Teaser 1,2019-04-07,2019-04-07,,MV,MVs,,https://www.youtube.com/watch?v=jrSsNzsi4eQ,https://img.youtube.com/vi/jrSsNzsi4eQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,47,,active,35691607,3546373
mv-179,BTS (방탄소년단) MAP OF THE SOUL : PERSONA 'Persona' Comeback Trailer,2019-03-27,2019-03-27,,MV,MVs,,https://www.youtube.com/watch?v=M9Uy0opVF3s,https://img.youtube.com/vi/M9Uy0opVF3s/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,179,,active,103025725,5606402
mv-180,BTS (防弾少年団) 'Airplane pt.2 -Japanese ver.-' Official MV,2018-11-06,2018-11-06,,MV,MVs,,https://www.youtube.com/watch?v=CxnJf0tWu48,https://img.youtube.com/vi/CxnJf0tWu48/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,228,,active,338998211,6921531
mv-181,RM 'moonchild' Lyric Video,2018-10-24,2018-10-24,,MV,MVs,,https://www.youtube.com/watch?v=G9ntaxClfrA,https://img.youtube.com/vi/G9ntaxClfrA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,219,,active,20446021,1697936
mv-182,RM 'seoul (prod. HONNE)' Lyric Video,2018-10-23,2018-10-23,,MV,MVs,,https://www.youtube.com/watch?v=F8wI5ZosdRA,https://img.youtube.com/vi/F8wI5ZosdRA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,274,,active,44653538,2462281
mv-183,RM 'forever rain' MV,2018-10-22,2018-10-22,,MV,MVs,,https://www.youtube.com/watch?v=Cvb76hBX_Oc,https://img.youtube.com/vi/Cvb76hBX_Oc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,269,,active,29536693,3201427
mv-184,BTS (방탄소년단) 'IDOL (Feat. Nicki Minaj)' Official MV,2018-09-06,2018-09-06,,MV,MVs,,https://www.youtube.com/watch?v=K1scjjbfNsk,https://img.youtube.com/vi/K1scjjbfNsk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,295,,active,168254571,6008753
mv-185,BTS (방탄소년단) 'IDOL' Official MV,2018-08-24,2018-08-24,,MV,MVs,,https://www.youtube.com/watch?v=pBuZEGYXA6E,https://img.youtube.com/vi/pBuZEGYXA6E/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,232,,active,1398288105,21591034
mv-186,BTS (방탄소년단) 'IDOL' Official Teaser,2018-08-22,2018-08-22,,MV,MVs,,https://www.youtube.com/watch?v=Rd0UqlRf1eE,https://img.youtube.com/vi/Rd0UqlRf1eE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,42,,active,39453868,3479868
mv-187,BTS (방탄소년단) LOVE YOURSELF 結 Answer 'Epiphany' Comeback Trailer,2018-08-09,2018-08-09,,MV,MVs,,https://www.youtube.com/watch?v=fIkZOLsnoqY,https://img.youtube.com/vi/fIkZOLsnoqY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,262,,active,137187463,6732742
